rowId,city_name,town_name,latitude,longitude,households,population,e_stat_code
1,四日市市,相生町,34.963308,136.632039,67,127,242020240
2,四日市市,青葉町,34.971035,136.580942,311,712,242020510
3,四日市市,あがたが丘一丁目,35.022021,136.570999,204,470,24202214001
4,四日市市,あがたが丘二丁目,35.024183,136.568697,201,497,24202214002
5,四日市市,あがたが丘三丁目,35.025036,136.565828,294,749,24202214003
6,四日市市,あかつき台一丁目,35.024142,136.598186,421,1060,24202247001
7,四日市市,あかつき台二丁目,35.026827,136.600258,316,777,24202247002
8,四日市市,あかつき台三丁目,35.028888,136.598084,281,702,24202247003
9,四日市市,あかつき台四丁目,35.026695,136.603713,124,323,24202247004
10,四日市市,あかつき台五丁目,35.027852,136.595264,168,436,24202247005
11,四日市市,あかつき台六丁目,35.032006,136.597112,109,267,24202247006
12,四日市市,赤堀一丁目,34.959177,136.612389,238,411,24202067001
13,四日市市,赤堀二丁目,34.960827,136.608941,349,724,24202067002
14,四日市市,赤堀三丁目,34.959046,136.606532,229,409,24202067003
15,四日市市,赤堀新町,34.961726,136.612233,133,233,242020660
16,四日市市,赤堀南町,34.957352,136.610214,403,776,242020680
17,四日市市,阿倉川新町,34.993619,136.620654,90,273,242023510
18,四日市市,阿倉川町,34.985561,136.627268,351,761,242023130
19,四日市市,曙一丁目,34.954913,136.624611,110,236,24202043001
20,四日市市,曙二丁目,34.953155,136.623180,147,221,24202043002
21,四日市市,曙町,34.952285,136.626205,191,334,242020450
22,四日市市,赤水町,35.012056,136.557606,299,838,242022080
23,四日市市,あさけが丘一丁目,35.035540,136.580738,229,573,24202234001
24,四日市市,あさけが丘二丁目,35.035153,136.577592,218,525,24202234002
25,四日市市,あさけが丘三丁目,35.033186,136.576411,284,453,24202234003
26,四日市市,朝明町,35.039745,136.585831,137,379,242022320
27,四日市市,朝日町,34.961432,136.627707,234,385,242020390
29,四日市市,天カ須賀一丁目,35.008583,136.667286,211,435,24202270001
30,四日市市,天カ須賀二丁目,35.010733,136.669405,486,1031,24202270002
31,四日市市,天カ須賀三丁目,35.012840,136.671872,128,263,24202270003
32,四日市市,天カ須賀四丁目,35.015350,136.669644,310,700,24202270004
33,四日市市,天カ須賀五丁目,35.013150,136.665486,549,1424,24202270005
34,四日市市,天カ須賀新町,35.006205,136.669915,0,0,242022760
35,四日市市,伊倉一丁目,34.972088,136.604684,394,685,24202057001
36,四日市市,伊倉二丁目,34.973058,136.601298,243,445,24202057002
37,四日市市,伊倉三丁目,34.974385,136.597075,338,587,24202057003
38,四日市市,生桑町,34.984449,136.599681,1187,2718,242021970
39,四日市市,伊坂台一丁目,35.042503,136.628797,285,751,24202248001
40,四日市市,伊坂台二丁目,35.041370,136.626487,173,511,24202248002
41,四日市市,伊坂台三丁目,35.045389,136.624667,353,965,24202248003
42,四日市市,伊坂町,35.039554,136.622158,155,394,242022360
43,四日市市,石塚町,34.961076,136.603179,805,1687,242020690
45,四日市市,市場町,35.058066,136.559803,215,592,242022170
46,四日市市,稲葉町,34.963836,136.638227,92,157,242020200
47,四日市市,浮橋一丁目,34.969670,136.576812,227,572,24202178001
48,四日市市,浮橋二丁目,34.969129,136.575067,262,672,24202178002
57,四日市市,鵜の森一丁目,34.965430,136.615744,807,1219,24202032001
58,四日市市,鵜の森二丁目,34.967060,136.611509,761,1277,24202032002
59,四日市市,午起一丁目,34.970474,136.637979,85,140,24202338001
60,四日市市,午起二丁目,34.973737,136.639434,46,89,24202338002
61,四日市市,午起三丁目,34.973995,136.642016,11,14,24202338003
62,四日市市,江村町,35.008906,136.546086,70,206,242022120
69,四日市市,大字茂福,35.004926,136.642376,442,950,242022950
71,四日市市,大井手一丁目,34.971041,136.593093,499,1057,24202056001
72,四日市市,大井手二丁目,34.973542,136.593576,385,838,24202056002
73,四日市市,大井手三丁目,34.973112,136.589681,257,554,24202056003
77,四日市市,大鐘町,35.038811,136.607826,79,236,242022300
78,四日市市,大谷台一丁目,34.999911,136.614519,165,441,24202205001
79,四日市市,大谷台二丁目,35.000528,136.612411,246,640,24202205002
81,四日市市,大宮町,34.990693,136.630668,538,1285,242023030
82,四日市市,大宮西町,34.992749,136.628438,280,651,242023040
83,四日市市,大矢知新町,35.023074,136.628770,132,428,242023490
85,四日市市,沖の島町,34.966026,136.627343,197,474,242020180
96,四日市市,尾上町,34.959804,136.633802,9,21,242020270
97,四日市市,尾平町,34.978349,136.587979,890,2056,242021830
100,四日市市,霞一丁目,34.981666,136.659940,0,0,24202287001
101,四日市市,霞二丁目,34.992106,136.666577,0,0,24202287002
102,四日市市,金場町,34.984580,136.634504,209,313,242023110
103,四日市市,上海老町,35.020717,136.560952,150,432,242022150
104,四日市市,萱生町,35.033403,136.603540,90,148,242022460
106,四日市市,川北一丁目,35.020893,136.646780,613,1365,24202262001
107,四日市市,川北二丁目,35.023679,136.648971,296,715,24202262002
108,四日市市,川北三丁目,35.024596,136.644226,153,409,24202262003
109,四日市市,川北町,35.026675,136.650117,0,0,242022630
110,四日市市,川島新町,34.976171,136.559407,196,458,242021720
113,四日市市,川原町,34.974336,136.628145,455,941,242023340
115,四日市市,北納屋町,34.966101,136.637062,73,139,242020190
116,四日市市,北野町,35.015011,136.543373,51,147,242022070
117,四日市市,北浜田町,34.961451,136.623362,496,966,242020350
118,四日市市,北浜町,34.969083,136.633347,156,338,242020110
119,四日市市,北町,34.971632,136.626877,128,334,242020040
120,四日市市,北山町,35.044693,136.589267,266,740,242022280
121,四日市市,京町,34.976440,136.630304,243,538,242023330
122,四日市市,九の城町,34.963809,136.614495,493,891,242020330
123,四日市市,久保田一丁目,34.973383,136.608160,231,489,24202061001
124,四日市市,久保田二丁目,34.975274,136.609456,597,1220,24202061002
125,四日市市,蔵町,34.965319,136.632916,101,181,242020230
126,四日市市,黒田町,35.012313,136.538352,24,76,242022060
127,四日市市,黄金町,35.026806,136.637524,1,3,242022410
128,四日市市,小杉新町,34.998692,136.608381,289,691,242022030
129,四日市市,小杉町,34.990863,136.608084,734,1612,242022010
130,四日市市,寿町,34.951342,136.621730,0,0,242020460
133,四日市市,小生町,34.975498,136.576988,330,839,242021760
134,四日市市,幸町,34.962470,136.625584,334,735,242020380
135,四日市市,栄町,34.964337,136.627052,125,265,242020360
136,四日市市,札場町,35.037671,136.576155,534,1285,242022330
137,四日市市,三郎町,34.974358,136.646732,0,0,242023410
138,四日市市,三栄町,34.963790,136.623309,260,506,242020370
140,四日市市,芝田一丁目,34.969106,136.608348,663,1221,24202062001
141,四日市市,芝田二丁目,34.971307,136.607682,165,295,24202062002
142,四日市市,清水町,34.981150,136.615259,211,454,242023270
143,四日市市,下海老町,35.014680,136.573720,447,1202,242022100
144,四日市市,下さざらい町,35.019619,136.642915,371,876,242022570
145,四日市市,下之宮町,35.016070,136.641678,848,1640,242022660
146,四日市市,十七軒町,34.959081,136.622874,158,311,242020420
147,四日市市,十志町,35.012555,136.643137,301,597,242022670
148,四日市市,昌栄町,34.957799,136.627661,149,277,242020410
150,四日市市,白須賀一丁目,34.989954,136.643454,251,461,24202307001
151,四日市市,白須賀二丁目,34.992306,136.645409,150,231,24202307002
152,四日市市,白須賀三丁目,34.994500,136.646691,38,64,24202307003
153,四日市市,城北町,34.965315,136.610527,221,438,242020640
154,四日市市,城西町,34.964923,136.603474,748,1483,242020630
155,四日市市,城東町,34.963491,136.609376,399,894,242020650
156,四日市市,城山町,34.986138,136.632211,230,569,242023120
157,四日市市,新正一丁目,34.959020,136.616458,338,601,24202050001
158,四日市市,新正二丁目,34.957998,136.619464,199,344,24202050002
159,四日市市,新正三丁目,34.955588,136.621661,196,339,24202050003
160,四日市市,新正四丁目,34.954770,136.616560,143,220,24202050004
161,四日市市,新正五丁目,34.956498,136.613819,94,158,24202050005
162,四日市市,新々町,34.966765,136.629800,58,131,242020150
163,四日市市,新町,34.966228,136.630958,135,281,242020160
164,四日市市,新浜町,34.972420,136.634226,261,548,242023400
165,四日市市,末広町,34.953760,136.631045,25,48,242020470
166,四日市市,菅原町,34.994062,136.554766,81,213,242021790
167,四日市市,住吉町,35.009835,136.665004,154,353,242022710
168,四日市市,諏訪栄町,34.967246,136.620976,396,656,242020300
169,四日市市,諏訪町,34.966026,136.624226,478,1010,242020080
170,四日市市,曽井町,34.979724,136.569399,0,0,242021820
171,四日市市,大協町一丁目,34.961597,136.642584,0,0,24202021001
172,四日市市,大協町二丁目,34.968837,136.643927,0,0,24202021002
173,四日市市,平町,35.013634,136.656844,444,1064,242022720
175,四日市市,高砂町,34.961844,136.636690,78,202,242020260
181,四日市市,高浜新町,34.976810,136.641030,94,130,242023370
182,四日市市,高浜町,34.977796,136.637588,77,146,242023360
183,四日市市,高見台一丁目,35.061149,136.561971,312,791,24202227001
184,四日市市,高見台二丁目,35.062990,136.560787,258,468,24202227002
186,四日市市,垂坂新町,35.003200,136.609459,189,488,242023500
187,四日市市,垂坂町,35.008405,136.614794,673,1652,242022500
188,四日市市,千歳町,34.954074,136.637768,5,12,242020280
189,四日市市,中部,34.968989,136.625656,365,799,242020050
190,四日市市,千代田町,35.032004,136.620810,176,402,242022420
193,四日市市,東新町,34.974874,136.635804,367,754,242023390
195,四日市市,ときわ一丁目,34.966984,136.598241,256,492,24202060001
196,四日市市,ときわ二丁目,34.968033,136.595359,204,494,24202060002
197,四日市市,ときわ三丁目,34.964313,136.593744,346,831,24202060003
198,四日市市,ときわ四丁目,34.963333,136.596378,624,1254,24202060004
199,四日市市,ときわ五丁目,34.962241,136.599494,661,1432,24202060005
203,四日市市,富州原町,35.009285,136.658946,253,562,242022740
204,四日市市,富田一丁目,35.004456,136.651201,298,663,24202279001
205,四日市市,富田二丁目,35.005353,136.655220,291,679,24202279002
206,四日市市,富田三丁目,35.007988,136.652005,486,1099,24202279003
207,四日市市,富田四丁目,35.008348,136.648798,262,695,24202279004
208,四日市市,富田一色町,35.006638,136.662222,686,1509,242022750
209,四日市市,富田栄町,35.009868,136.646642,263,630,242022800
210,四日市市,富田浜町,34.996609,136.651617,286,601,242022850
211,四日市市,富田浜元町,35.000043,136.653516,138,313,242022840
212,四日市市,中川原一丁目,34.967106,136.604835,543,1127,24202059001
213,四日市市,中川原二丁目,34.969789,136.603497,338,588,24202059002
214,四日市市,中川原三丁目,34.970379,136.600484,386,671,24202059003
215,四日市市,中川原四丁目,34.970899,136.597484,15,15,24202059004
217,四日市市,中納屋町,34.964054,136.634996,82,166,242020220
219,四日市市,中浜田町,34.962012,136.618576,219,375,242020340
220,四日市市,中町,34.969209,136.629670,165,383,242020130
221,四日市市,中村町,35.026336,136.609019,340,628,242022450
223,四日市市,西伊倉町,34.975225,136.601195,386,733,242020580
224,四日市市,西浦一丁目,34.970128,136.617310,477,713,24202002001
225,四日市市,西浦二丁目,34.973176,136.618412,381,730,24202002002
226,四日市市,西大鐘町,35.042661,136.600596,102,393,242022290
227,四日市市,西新地,34.969657,136.621338,287,439,242020070
228,四日市市,西末広町,34.959803,136.630883,68,84,242020400
229,四日市市,西富田二丁目,35.014043,136.651547,188,326,24202268002
230,四日市市,西富田三丁目,35.017184,136.646568,158,341,24202268003
231,四日市市,西富田町,35.013436,136.647533,1056,2314,242022690
232,四日市市,西浜田町,34.962579,136.613608,361,569,242020480
234,四日市市,西町,34.972254,136.622747,234,518,242020030
235,四日市市,西松本町,34.969515,136.584450,545,1266,242020520
236,四日市市,西村町西村,35.062646,136.546749,96,284,242022160
238,四日市市,野田一丁目,34.978824,136.612053,274,565,24202328001
239,四日市市,野田二丁目,34.980158,136.607139,129,342,24202328002
241,四日市市,八幡町,34.971269,136.629923,139,297,242020090
242,四日市市,八田一丁目,34.992065,136.639051,369,844,24202306001
243,四日市市,八田二丁目,34.993951,136.640712,313,704,24202306002
244,四日市市,八田三丁目,34.996560,136.642703,86,137,24202306003
245,四日市市,羽津町,34.989281,136.635965,391,891,242023090
246,四日市市,羽津中一丁目,34.992132,136.633734,256,635,24202299001
247,四日市市,羽津中二丁目,34.994076,136.635228,272,526,24202299002
248,四日市市,羽津中三丁目,34.995924,136.636913,99,233,24202299003
249,四日市市,羽津山町,34.988583,136.627639,383,944,242023050
251,四日市市,浜一色町,34.978379,136.632043,328,739,242023320
252,四日市市,浜園町,34.995828,136.653542,0,0,242022860
253,四日市市,浜田町,34.964147,136.619885,304,446,242020310
254,四日市市,浜町,34.967585,136.635182,88,150,242020120
255,四日市市,万古町,34.982395,136.625154,461,931,242023140
256,四日市市,東ケ谷,35.001502,136.607135,10,16,242022020
257,四日市市,東垂坂町,35.005612,136.621695,360,962,242022520
258,四日市市,東富田町,35.002536,136.656530,634,1334,242022780
262,四日市市,東茂福町,34.997419,136.649179,157,336,242022830
263,四日市市,広永町,35.028857,136.641633,409,801,242022390
264,四日市市,富士町,34.984650,136.639704,523,845,242023100
265,四日市市,富双一丁目,35.000561,136.658094,0,0,24202277001
266,四日市市,富双二丁目,35.003574,136.662906,0,0,24202277002
267,四日市市,別名一丁目,34.994736,136.626903,371,792,24202298001
268,四日市市,別名二丁目,34.996213,136.624021,213,519,24202298002
269,四日市市,別名三丁目,34.998938,136.626523,320,704,24202298003
