"[Summary:B2]","三重第3区"
"[Summary:B3]","三重県"
"[Summary:B4]","5"
"[Summary:B5]","17"
"自治体名","町名","丁目状態","検証ソース"
"四日市市（一部）","富田","VERIFIED","NATIONAL_ADDRESS_MASTER"
"四日市市（一部）","富州原町","NONE","NATIONAL_ADDRESS_MASTER"
"四日市市（一部）","羽津","VERIFIED","NATIONAL_ADDRESS_MASTER"
"桑名市","江場","VERIFIED","NATIONAL_ADDRESS_MASTER"
"桑名市","吉之丸","NONE","NATIONAL_ADDRESS_MASTER"
"桑名市","大山田","VERIFIED","NATIONAL_ADDRESS_MASTER"
"桑名市","播磨","NONE","NATIONAL_ADDRESS_MASTER"
"桑名市","多度町香取","NONE","NATIONAL_ADDRESS_MASTER"
"桑名市","長島町駒江","NONE","NATIONAL_ADDRESS_MASTER"
"いなべ市","員弁町大泉","NONE","NATIONAL_ADDRESS_MASTER"
"いなべ市","北勢町阿下喜","NONE","NATIONAL_ADDRESS_MASTER"
"いなべ市","大安町丹生川","NONE","NATIONAL_ADDRESS_MASTER"
"いなべ市","藤原町市場","NONE","NATIONAL_ADDRESS_MASTER"
"桑名郡","木曽岬町加畑","NONE","NATIONAL_ADDRESS_MASTER"
"桑名郡","木曽岬町源緑輪中","NONE","NATIONAL_ADDRESS_MASTER"
"員弁郡","東員町穴太","NONE","NATIONAL_ADDRESS_MASTER"
"員弁郡","東員町笹尾東","VERIFIED","NATIONAL_ADDRESS_MASTER"
