CITY,TOWN,DISTRICT,SOURCE,UPDATED_AT,NOTES
四日市市,富州原町,富洲原地区,Japan Post,2026-07-22,富洲原地区主要町域
四日市市,富洲原町,富洲原地区,Japan Post,2026-07-22,富洲原地区主要町域
四日市市,平町,富洲原地区,Japan Post,2026-07-22,富洲原地区主要町域
四日市市,天カ須賀,富洲原地区,Japan Post,2026-07-22,富洲原地区主要町域
四日市市,天カ須賀新田,富洲原地区,Japan Post,2026-07-22,富洲原地区主要町域
四日市市,住吉町,富洲原地区,Japan Post,2026-07-22,富洲原地区主要町域
四日市市,羽津,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,羽津町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,羽津山町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,大宮町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,霞,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,金場町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,城北町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,垂坂町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,別名,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,別名町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,別名１丁目,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,別名２丁目,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,別名３丁目,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,別名４丁目,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,別名５丁目,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,別名６丁目,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,富士町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,緑丘町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,山手町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,八幡町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,大字羽津,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,東茂福町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,茂福,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,茂福町,羽津地区,Japan Post,2026-07-22,羽津地区主要町域
四日市市,常磐,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,常磐町,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,ときわ,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
