"北海道選挙区,区域"
"第1区,""札幌市中央区、札幌市北区（本庁管内の一部）、札幌市南区、札幌市西区（山の手、二十四軒、琴似、発寒の一部、小別沢、宮の沢、西町、西野、福井、平和など）"""
"第2区,""札幌市北区（第1区に属しない区域）、札幌市東区"""
"第3区,""札幌市白石区（菊水、菊水上町、菊水元町、米里、東米里、東札幌、中央、本通、平和通、本郷通、北郷の一部、南郷通の一部、栄通、流通センター、川北の一部）、札幌市豊平区、札幌市清田区"""
"第4区,""札幌市西区（第1区に属しない区域）、札幌市手稲区、小樽市、石狩市、北海道後志総合振興局管内"""
"第5区,""札幌市白石区（北郷の一部、川北の一部、川下）、札幌市厚別区、江別市、千歳市、恵庭市、北広島市、北海道石狩振興局管内"""
"第6区,""旭川市、士別市、名寄市、富良野市、北海道上川総合振興局管内"""
"第7区,""釧路市、根室市、北海道釧路総合振興局管内、北海道根室振興局管内"""
"第8区,""函館市、北斗市、北海道渡島総合振興局管内、北海道檜山振興局管内"""
"第9区,""室蘭市、苫小牧市、登別市、伊達市、北海道胆振総合振興局管内、北海道日高振興局管内"""
"第10区,""夕張市、岩見沢市、留萌市、美唄市、芦別市、赤平市、三笠市、滝川市、砂川市、歌志内市、深川市、北海道空知総合振興局管内、北海道留萌振興局管内"""
"第11区,""帯広市、北海道十勝総合振興局管内"""
"第12区,""北見市、網走市、稚内市、紋別市、北海道宗谷総合振興局管内、北海道オホーツク総合振興局管内"""
