区数,都道府県,市区町村,町域（丁目含む）
第1区,三重県,津市,
第1区,三重県,松阪市,
第2区,三重県,四日市市,四日市市日永地区市民センター管内
第2区,三重県,四日市市,四日市市四郷地区市民センター管内
第2区,三重県,四日市市,四日市市内部地区市民センター管内
第2区,三重県,四日市市,四日市市塩浜地区市民センター管内
第2区,三重県,四日市市,四日市市小山田地区市民センター管内
第2区,三重県,四日市市,四日市市河原田地区市民センター管内
第2区,三重県,四日市市,四日市市水沢地区市民センター管内
第2区,三重県,四日市市,四日市市楠地区市民センター管内
第2区,三重県,鈴鹿市,
第2区,三重県,名張市,
第2区,三重県,亀山市,
第2区,三重県,伊賀市,
第3区,三重県,四日市市,第2区に属しない区域
第3区,三重県,桑名市,
第3区,三重県,いなべ市,
第3区,三重県,桑名郡,
第3区,三重県,員弁郡,
第3区,三重県,三重郡,
第4区,三重県,伊勢市,
第4区,三重県,尾鷲市,
第4区,三重県,鳥羽市,
第4区,三重県,熊野市,
第4区,三重県,志摩市,
第4区,三重県,多気郡,
第4区,三重県,度会郡,
第4区,三重県,北牟婁郡,
第4区,三重県,南牟婁郡,
