"自治体名","町名/大字","丁目/詳細","ステータス","検証ソース","選挙区コード"
"四日市市（一部）","富田","1丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"四日市市（一部）","富田","2丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"四日市市（一部）","富田","3丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"四日市市（一部）","富州原町","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"四日市市（一部）","羽津","1丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"四日市市（一部）","羽津","2丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","江場","1丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","江場","2丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","江場","3丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","吉之丸","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","大山田","1丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","大山田","2丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","大山田","3丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","大山田","4丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","大山田","5丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","大山田","6丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","大山田","7丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","大山田","8丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","播磨","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","多度町香取","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名市","長島町駒江","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"いなべ市","員弁町大泉","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"いなべ市","北勢町阿下喜","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"いなべ市","大安町丹生川","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"いなべ市","藤原町市場","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名郡","木曽岬町加畑","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"桑名郡","木曽岬町源緑輪中","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"員弁郡","東員町穴太","全域","NONE","NATIONAL_ADDRESS_MASTER","MIE-03"
"員弁郡","東員町笹尾東","1丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"員弁郡","東員町笹尾東","2丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
"員弁郡","東員町笹尾東","3丁目","VERIFIED","NATIONAL_ADDRESS_MASTER","MIE-03"
